,position,link,asin,is_lightning_deal,deal_type,starts_at,ends_at,type,title,image,deal_price_lower,deal_price_upper,deal_price,list_price_lower,list_price_upper,list_price,current_price_lower,current_price_upper,current_price,merchant_name,free_shipping,is_prime,is_map,deal_id,seller_id,description,rating,ratings_total,page,asins_in_deal
0,1,https://www.amazon.com/deal/1c2ccaf6?showVariations=true,B099X96YV8,True,LIGHTNING_DEAL,2022-07-01T05:00:00.487Z,2022-07-14T06:55:00.487Z,multi_item,Toshiba HD Smart Fire TVs Starting at $129.99 (32-inch to 43-inch),https://m.media-amazon.com/images/G/01/kindle/journeys/M2M0OGUzMzIt/M2M0OGUzMzIt-ZmJlNzQ4MTct-w210.jpg,"{'value': 129.99, 'currency': 'USD', 'symbol': '$', 'raw': '129.99'}","{'value': 189.99, 'currency': 'USD', 'symbol': '$', 'raw': '189.99'}","{'value': 129.99, 'currency': 'USD', 'symbol': '$', 'raw': '129.99 - 189.99', 'name': 'Deal Price'}","{'value': 199.99, 'currency': 'USD', 'symbol': '$', 'raw': '199.99'}","{'value': 289.99, 'currency': 'USD', 'symbol': '$', 'raw': '289.99'}","{'value': 199.99, 'currency': 'USD', 'symbol': '$', 'raw': '199.99 - 289.99', 'name': 'List Price'}","{'value': 199.99, 'currency': 'USD', 'symbol': '$', 'raw': '199.99'}","{'value': 289.99, 'currency': 'USD', 'symbol': '$', 'raw': '289.99'}","{'value': 199.99, 'currency': 'USD', 'symbol': '$', 'raw': '199.99 - 289.99', 'name': 'Current Price'}",Best Buy,False,False,False,1c2ccaf6,ANSF0RE9FUP82,0,4.58,1009,1,
1,2,https://www.amazon.com/deal/24f374dc?showVariations=true,B08Z265BJH,True,LIGHTNING_DEAL,2022-07-01T05:00:00.487Z,2022-07-14T06:55:00.487Z,multi_item,Insignia 4K Smart Fire TVs Starting at $189.99 (43-inch to 75-inch),https://m.media-amazon.com/images/G/01/kindle/journeys/M2M0OGUzMzIt/M2M0OGUzMzIt-MzQzZGU2MTAt-w210.jpg,"{'value': 189.99, 'currency': 'USD', 'symbol': '$', 'raw': '189.99'}","{'value': 599.99, 'currency': 'USD', 'symbol': '$', 'raw': '599.99'}","{'value': 189.99, 'currency': 'USD', 'symbol': '$', 'raw': '189.99 - 599.99', 'name': 'Deal Price'}","{'value': 299.99, 'currency': 'USD', 'symbol': '$', 'raw': '299.99'}","{'value': 849.99, 'currency': 'USD', 'symbol': '$', 'raw': '849.99'}","{'value': 299.99, 'currency': 'USD', 'symbol': '$', 'raw': '299.99 - 849.99', 'name': 'List Price'}","{'value': 299.99, 'currency': 'USD', 'symbol': '$', 'raw': '299.99'}","{'value': 849.99, 'currency': 'USD', 'symbol': '$', 'raw': '849.99'}","{'value': 299.99, 'currency': 'USD', 'symbol': '$', 'raw': '299.99 - 849.99', 'name': 'Current Price'}",Best Buy,False,False,False,24f374dc,ANSF0RE9FUP82,0,4.6,4774,1,
2,3,https://www.amazon.com/deal/e7876434?showVariations=true,B0875M44Y5,True,LIGHTNING_DEAL,2022-07-01T05:00:00.487Z,2022-07-14T06:55:00.487Z,multi_item,Insignia HD Smart Fire TVs Starting at $89.99 (24-inch to 39-inch),https://m.media-amazon.com/images/G/01/kindle/journeys/M2M0OGUzMzIt/M2M0OGUzMzIt-OWM3ZGE5NTYt-w210.jpg,"{'value': 89.99, 'currency': 'USD', 'symbol': '$', 'raw': '89.99'}","{'value': 149.99, 'currency': 'USD', 'symbol': '$', 'raw': '149.99'}","{'value': 89.99, 'currency': 'USD', 'symbol': '$', 'raw': '89.99 - 149.99', 'name': 'Deal Price'}","{'value': 169.99, 'currency': 'USD', 'symbol': '$', 'raw': '169.99'}","{'value': 229.99, 'currency': 'USD', 'symbol': '$', 'raw': '229.99'}","{'value': 169.99, 'currency': 'USD', 'symbol': '$', 'raw': '169.99 - 229.99', 'name': 'List Price'}","{'value': 169.99, 'currency': 'USD', 'symbol': '$', 'raw': '169.99'}","{'value': 229.99, 'currency': 'USD', 'symbol': '$', 'raw': '229.99'}","{'value': 169.99, 'currency': 'USD', 'symbol': '$', 'raw': '169.99 - 229.99', 'name': 'Current Price'}",Best Buy,False,False,False,e7876434,ANSF0RE9FUP82,0,4.52,26425,1,
3,4,https://www.amazon.com/deal/ddff84bf?showVariations=true,B09K9FP7TM,True,LIGHTNING_DEAL,2022-07-01T05:00:00.487Z,2022-07-14T06:55:00.487Z,multi_item,Toshiba 4K Smart Fire TVs Starting at $229.99 (43-inch to 75-inch),https://m.media-amazon.com/images/G/01/kindle/journeys/M2M0OGUzMzIt/M2M0OGUzMzIt-ODgxOWU5ZTIt-w210.jpg,"{'value': 229.99, 'currency': 'USD', 'symbol': '$', 'raw': '229.99'}","{'value': 699.99, 'currency': 'USD', 'symbol': '$', 'raw': '699.99'}","{'value': 229.99, 'currency': 'USD', 'symbol': '$', 'raw': '229.99 - 699.99', 'name': 'Deal Price'}","{'value': 329.99, 'currency': 'USD', 'symbol': '$', 'raw': '329.99'}","{'value': 1399.99, 'currency': 'USD', 'symbol': '$', 'raw': '1399.99'}","{'value': 329.99, 'currency': 'USD', 'symbol': '$', 'raw': '329.99 - 1399.99', 'name': 'List Price'}","{'value': 329.99, 'currency': 'USD', 'symbol': '$', 'raw': '329.99'}","{'value': 1399.99, 'currency': 'USD', 'symbol': '$', 'raw': '1399.99'}","{'value': 329.99, 'currency': 'USD', 'symbol': '$', 'raw': '329.99 - 1399.99', 'name': 'Current Price'}",Best Buy,False,False,False,ddff84bf,ANSF0RE9FUP82,0,4.12,62,1,
4,5,https://www.amazon.com/deal/17102bc9?showVariations=true,B09F3WL125,True,LIGHTNING_DEAL,2022-07-01T05:00:00.487Z,2022-07-14T06:55:00.487Z,multi_item,Pioneer 4K Smart Fire TVs Starting at 199.99 (43-inch & 50-inch),https://m.media-amazon.com/images/G/01/kindle/journeys/M2M0OGUzMzIt/M2M0OGUzMzIt-ZWNiM2IxZGMt-w210.jpg,"{'value': 199.99, 'currency': 'USD', 'symbol': '$', 'raw': '199.99'}","{'value': 249.99, 'currency': 'USD', 'symbol': '$', 'raw': '249.99'}","{'value': 199.99, 'currency': 'USD', 'symbol': '$', 'raw': '199.99 - 249.99', 'name': 'Deal Price'}","{'value': 319.99, 'currency': 'USD', 'symbol': '$', 'raw': '319.99'}","{'value': 419.99, 'currency': 'USD', 'symbol': '$', 'raw': '419.99'}","{'value': 319.99, 'currency': 'USD', 'symbol': '$', 'raw': '319.99 - 419.99', 'name': 'List Price'}","{'value': 319.99, 'currency': 'USD', 'symbol': '$', 'raw': '319.99'}","{'value': 419.99, 'currency': 'USD', 'symbol': '$', 'raw': '419.99'}","{'value': 319.99, 'currency': 'USD', 'symbol': '$', 'raw': '319.99 - 419.99', 'name': 'Current Price'}",Best Buy,False,False,False,17102bc9,ANSF0RE9FUP82,0,4.64,488,1,
5,6,https://www.amazon.com/All-New-Insignia-NS-42F201NA22-42-inch-Released/dp/B08X7GBPSJ,B08X7GBPSJ,True,LIGHTNING_DEAL,2022-07-01T05:00:00.487Z,2022-07-14T06:55:00.487Z,single_item,Insignia 42-inch Full HD Smart Fire TV,https://m.media-amazon.com/images/G/01/kindle/journeys/M2M0OGUzMzIt/M2M0OGUzMzIt-ZTE0OTI1NTEt-w210.jpg,,,"{'value': 169.99, 'currency': 'USD', 'symbol': '$', 'raw': '169.99', 'name': 'Deal Price'}",,,"{'value': 269.99, 'currency': 'USD', 'symbol': '$', 'raw': '269.99', 'name': 'List Price'}",,,"{'value': 269.99, 'currency': 'USD', 'symbol': '$', 'raw': '269.99', 'name': 'Current Price'}",Best Buy,False,False,False,65d6083e,ANSF0RE9FUP82,0,4.46,5010,1,['B08X7GBPSJ']
6,7,https://www.amazon.com/All-New-Toshiba-55-inch-Hands-Free-55M550KU/dp/B09K8ZY7KF,B09K8ZY7KF,True,LIGHTNING_DEAL,2022-07-01T05:00:00.488Z,2022-07-14T06:55:00.488Z,single_item,Toshiba 55-inch 4K UHD Smart Fire TV with Far Field Technology,https://m.media-amazon.com/images/G/01/kindle/journeys/M2M0OGUzMzIt/M2M0OGUzMzIt-YzI0YzQ0NDQt-w210.jpg,,,"{'value': 349.99, 'currency': 'USD', 'symbol': '$', 'raw': '349.99', 'name': 'Deal Price'}",,,"{'value': 799.99, 'currency': 'USD', 'symbol': '$', 'raw': '799.99', 'name': 'List Price'}",,,"{'value': 799.99, 'currency': 'USD', 'symbol': '$', 'raw': '799.99', 'name': 'Current Price'}",Best Buy,False,False,False,3abe525a,ANSF0RE9FUP82,0,4.12,62,1,['B09K8ZY7KF']
7,8,https://www.amazon.com/Insignia-NS-32DF310NA19-32-inch-720p-Smart/dp/B07FPP6TB5,B07FPP6TB5,True,LIGHTNING_DEAL,2022-06-21T05:00:00.488Z,2022-07-14T06:55:00.488Z,single_item,Insignia 32-inch HD Smart Fire TV,https://m.media-amazon.com/images/G/01/kindle/journeys/M2M0OGUzMzIt/M2M0OGUzMzIt-ZmU4ODJhNjkt-w210.jpg,,,"{'value': 99.99, 'currency': 'USD', 'symbol': '$', 'raw': '99.99', 'name': 'Deal Price'}",,,"{'value': 179.99, 'currency': 'USD', 'symbol': '$', 'raw': '179.99', 'name': 'List Price'}",,,"{'value': 179.99, 'currency': 'USD', 'symbol': '$', 'raw': '179.99', 'name': 'Current Price'}",Best Buy,False,False,False,95f50ffe,ANSF0RE9FUP82,0,4.61,52455,1,['B07FPP6TB5']
8,9,https://www.amazon.com/amazon-fire-tv-50-inch-4-series-4k-smart-tv/dp/B08SVZ775L,B08SVZ775L,False,BEST_DEAL,2022-06-28T16:10:00.488Z,2022-07-11T18:55:00.488Z,single_item,Amazon Fire TV 50-inch 4-Series 4K UHD Smart TV,https://m.media-amazon.com/images/G/01/kindle/journeys/YzQ1ODEyNTMt/YzQ1ODEyNTMt-NjI3NmVlNmQt-w210.jpg,,,"{'value': 259.99, 'currency': 'USD', 'symbol': '$', 'raw': '259.99', 'name': 'Deal Price'}",,,"{'value': 469.99, 'currency': 'USD', 'symbol': '$', 'raw': '469.99', 'name': 'List Price'}",,,"{'value': 469.99, 'currency': 'USD', 'symbol': '$', 'raw': '469.99', 'name': 'Current Price'}",Amazon.com,False,True,False,90cc303e,ATVPDKIKX0DER,Prime Members only and while supplies last. Valid only when shipped and sold by Amazon.com,4.61,12335,1,
9,10,https://www.amazon.com/deal/a80ca90c?showVariations=true,B08T6J1HG8,False,BEST_DEAL,2022-06-28T15:00:00.488Z,2022-07-05T14:55:00.488Z,multi_item,Up to 40% off Amazon Fire TV Omni Series 4K UHD Smart TVs,https://m.media-amazon.com/images/G/01/kindle/journeys/YzQ1ODEyNTMt/YzQ1ODEyNTMt-OWZmNWUwYzct-w210.jpg,"{'value': 299.99, 'currency': 'USD', 'symbol': '$', 'raw': '299.99'}","{'value': 749.99, 'currency': 'USD', 'symbol': '$', 'raw': '749.99'}","{'value': 299.99, 'currency': 'USD', 'symbol': '$', 'raw': '299.99 - 749.99', 'name': 'Deal Price'}","{'value': 409.99, 'currency': 'USD', 'symbol': '$', 'raw': '409.99'}","{'value': 1099.99, 'currency': 'USD', 'symbol': '$', 'raw': '1099.99'}","{'value': 409.99, 'currency': 'USD', 'symbol': '$', 'raw': '409.99 - 1099.99', 'name': 'List Price'}","{'value': 299.99, 'currency': 'USD', 'symbol': '$', 'raw': '299.99'}","{'value': 749.99, 'currency': 'USD', 'symbol': '$', 'raw': '749.99'}","{'value': 299.99, 'currency': 'USD', 'symbol': '$', 'raw': '299.99 - 749.99', 'name': 'Current Price'}",Amazon.com,False,True,False,a80ca90c,ATVPDKIKX0DER,Shipped and sold by Amazon.com,4.57,8706,1,
