data_source,title,brand,deal_price,list_price,multi_item_t_f,avg_rating,amount_rating,deal_start,deal_end,description
Rainforest API,Toshiba HD Smart Fire TVs Starting at $129.99 (32-inch to 43-inch),Best Buy,129.99 - 189.99,199.99 - 289.99,True,4.58,1009.0,2022-07-01T05:00:00.487Z,2022-07-14T06:55:00.487Z,0
Rainforest API,Insignia 4K Smart Fire TVs Starting at $189.99 (43-inch to 75-inch),Best Buy,189.99 - 599.99,299.99 - 849.99,True,4.6,4774.0,2022-07-01T05:00:00.487Z,2022-07-14T06:55:00.487Z,0
Rainforest API,Insignia HD Smart Fire TVs Starting at $89.99 (24-inch to 39-inch),Best Buy,89.99 - 149.99,169.99 - 229.99,True,4.52,26425.0,2022-07-01T05:00:00.487Z,2022-07-14T06:55:00.487Z,0
Rainforest API,Toshiba 4K Smart Fire TVs Starting at $229.99 (43-inch to 75-inch),Best Buy,229.99 - 699.99,329.99 - 1399.99,True,4.12,62.0,2022-07-01T05:00:00.487Z,2022-07-14T06:55:00.487Z,0
Rainforest API,Pioneer 4K Smart Fire TVs Starting at 199.99 (43-inch & 50-inch),Best Buy,199.99 - 249.99,319.99 - 419.99,True,4.64,488.0,2022-07-01T05:00:00.487Z,2022-07-14T06:55:00.487Z,0
Rainforest API,Insignia 42-inch Full HD Smart Fire TV,Best Buy,169.99,269.99,False,4.46,5010.0,2022-07-01T05:00:00.487Z,2022-07-14T06:55:00.487Z,0
Rainforest API,Toshiba 55-inch 4K UHD Smart Fire TV with Far Field Technology,Best Buy,349.99,799.99,False,4.12,62.0,2022-07-01T05:00:00.488Z,2022-07-14T06:55:00.488Z,0
Rainforest API,Insignia 32-inch HD Smart Fire TV,Best Buy,99.99,179.99,False,4.61,52455.0,2022-06-21T05:00:00.488Z,2022-07-14T06:55:00.488Z,0
Rainforest API,Amazon Fire TV 50-inch 4-Series 4K UHD Smart TV,Amazon.com,259.99,469.99,False,4.61,12335.0,2022-06-28T16:10:00.488Z,2022-07-11T18:55:00.488Z,Prime Members only and while supplies last. Valid only when shipped and sold by Amazon.com
Rainforest API,Up to 40% off Amazon Fire TV Omni Series 4K UHD Smart TVs,Amazon.com,299.99 - 749.99,409.99 - 1099.99,True,4.57,8706.0,2022-06-28T15:00:00.488Z,2022-07-05T14:55:00.488Z,Shipped and sold by Amazon.com
Rainforest API,Amazon Fire TV 43-inch 4-Series 4K UHD Smart TV,Amazon.com,199.99,369.99,False,4.61,12335.0,2022-06-28T16:10:00.488Z,2022-07-11T18:55:00.488Z,Prime Members only and while supplies last. Valid only when shipped and sold by Amazon.com
Rainforest API,Amazon Fire TV 55-inch Omni Series 4K UHD Smart TV,Amazon.com,299.99,559.99,False,4.57,8706.0,2022-06-28T16:10:00.489Z,2022-07-11T18:55:00.489Z,Prime Members only and while supplies last. Valid only when shipped and sold by Amazon.com
Rainforest API,Amazon Fire TV 55-inch 4-Series 4K UHD Smart TV,Amazon.com,349.99,519.99,False,4.61,12335.0,2022-06-28T15:00:00.489Z,2022-07-05T14:55:00.489Z,Shipped and sold by Amazon.com
Rainforest API,Sony 65 Inch A80K 4K Ultra HD BRAVIA XR OLED Smart Google TV ,Amazon.com,1998,2299.99,False,5.0,4.0,2022-07-04T07:00:00.489Z,2022-07-18T06:59:59.489Z,On sale for limited time only. Valid while supplies last and when shipped & sold by Amazon.com.
Rainforest API,Sony 55 inch A80J XR OLED 4K Ultra HD Smart Google TV ,Amazon.com,998,1899.99,False,4.7,1480.0,2022-07-01T07:00:00.489Z,2022-07-18T06:59:59.489Z,On sale for limited time only. Valid while supplies last and when shipped & sold by Amazon.com.
Rainforest API,Certified Refurbished Fire TV Stick with Alexa Voice Remote,Amazon.com,15.99,34.99,False,2.79,17.0,2022-07-02T07:00:00.489Z,2022-07-14T06:59:59.489Z,While supplies last. Valid only when shipped and sold by Amazon.com
Rainforest API,Certified Refurbished Fire TV Stick 4K with Alexa Voice Remote,Amazon.com,22.49,44.99,True,4.6,22071.0,2022-07-02T07:00:00.489Z,2022-07-14T06:59:59.489Z,While supplies last. Valid only when shipped and sold by Amazon.com
Rainforest API,VEVOR branded products,Amazon.com,42.83 - 1020.45,49.99 - 1299.99,True,5.0,7.0,2022-07-04T07:00:00.489Z,2022-07-12T06:59:59.489Z,While supplies last. Valid only when shipped and sold by Amazon.com
Rainforest API,Hisense Fire TV,Amazon.com,399.99,529.99,False,3.82,15.0,2022-06-17T07:00:00.489Z,2022-07-12T06:59:59.489Z,On sale for a limited time only. Offer valid while supplies last and when shipped from and sold by Amazon.com
Rainforest API,"Inflatable Movie Screen Outdoor, OUTTOY Inflatable Projection Screen with Quiet Fan and Storage Bag, Easy Set up, Mega Blow Up Screen for Backyard Movie Night, Theme Parties, Celebrations",Outtoy,110.49 - 118.99,199.99 - 229.99,True,4.55,977.0,2022-07-04T07:00:00.489Z,2022-07-11T06:45:00.489Z,"Inflatable Movie Screen Outdoor, OUTTOY Inflatable Projection Screen with Quiet Fan and Storage Bag, Easy Set up, Mega Blow Up Screen for Backyard Movie Night, Theme Parties, Celebrations"
Rainforest API,"Mounting Dream Full Motion TV Wall Mount Swivel and Tilt for Most 42-75 Inch Flat Screen TV, UL listed TV Mount Bracket with Articulating Dual Arms, Max VESA 600x400mm, 100 lbs, Fits 16"" Studs, MD2617",Mounting Dream,46.74,62.79,False,4.76,5988.0,2022-07-04T07:00:00.489Z,2022-07-11T06:45:00.489Z,"Mounting Dream Full Motion TV Wall Mount Swivel and Tilt for Most 42-75 Inch Flat Screen TV, UL listed TV Mount Bracket with Articulating Dual Arms, Max VESA 600x400mm, 100 lbs, Fits 16"" Studs, MD2617"
